architecture,batch_size,learning_rate,avg_rmse,std_rmse,avg_target_train_loss,rmse_fold1,rmse_fold2,rmse_fold3
"(64,)",64,0.0005,0.9750755929349731,0.030842659372978577,0.6461423635482788,0.9644470249870942,0.9437541073205803,1.0170256464972447
"(64,)",64,5e-05,0.984714407406916,0.01543013538564158,0.5583223303159078,0.9989334910541542,0.9632697038401048,0.9919400273264886
"(32,)",64,5e-05,0.9848132348037922,0.030432258016220085,0.6393624941507975,0.9681967982137568,0.958739713494251,1.0275031927033687
"(64,)",128,0.001,0.9864781402138935,0.027642921529351563,0.5290637811024984,1.017991438880131,0.9506870038297864,0.990755977931763
"(64,)",64,0.0001,0.9882180470341595,0.01933062246494607,0.5601980884869894,1.0050716995372435,0.961150532884839,0.9984319086803958
"(64, 32)",128,0.001,0.9912176771116249,0.02654545046480164,0.4992213050524394,1.0045419296361011,0.9541608205237719,1.0149502811750015
"(32,)",128,0.001,0.9914826474420343,0.019435398330239512,0.5264672835667928,0.9716879355511786,1.0178945151347445,0.9848654916401797
"(32,)",64,0.0005,0.9915100380369806,0.05088459148077885,0.5888130863507589,1.0023468433919425,0.9244816912552998,1.0477015794636995
"(64, 32)",256,5e-05,0.9932221305068327,0.035221172184878836,0.6322361826896667,1.000448725934657,0.9469282904579498,1.0322893751278914
"(64,)",128,0.0005,0.9952613044051013,0.016205812146431332,0.666333794593811,1.0051873281123445,0.9724084054358335,1.0081881796671261
