architecture,batch_size,learning_rate,avg_rmse,std_rmse,avg_target_train_loss,rmse_fold1,rmse_fold2,rmse_fold3
"(512, 256)",512,0.001,16.74182325706466,0.36050223549767624,244.35826110839844,16.478790407113504,16.4951160939562,17.251563270124272
"(256, 128)",512,0.001,16.745060254890536,0.40619121597026214,239.09277852376303,16.399503247244088,16.52043503232594,17.315242485101578
"(512, 256)",256,0.001,16.768433652332767,0.3495336607881103,244.07923889160156,16.456668441850756,16.592107723388185,17.25652479175936
"(512, 256)",256,0.0005,16.773916773939153,0.3645155743284645,245.2467244466146,16.419416874176264,16.627045185361503,17.275288262279695
"(512, 256)",512,0.0005,16.777095584922453,0.3579651502842141,238.07970174153647,16.40271032158152,16.669185981474563,17.259390451711287
"(256, 128)",256,0.001,16.782020327634076,0.35993524132271854,246.31299845377603,16.437240364214126,16.63010312543168,17.278717493256416
"(256, 128, 64)",256,0.001,16.807869034095386,0.39377198840930877,245.2691904703776,16.462549247114335,16.60217690654829,17.358880948623533
"(512, 256, 128)",512,0.0005,16.810698372832064,0.36066193082181314,238.6538543701172,16.49908139490275,16.616811727692983,17.316201995900453
"(256, 128)",512,0.0005,16.821105958006374,0.34816454863606394,238.31909688313803,16.49760075129092,16.661399208861447,17.304317913866754
"(256, 128)",1024,0.001,16.821192501251897,0.3480149316620091,238.19620768229166,16.524334254559868,16.629654015820584,17.30958923337523
