architecture,batch_size,learning_rate,avg_rmse,std_rmse,avg_target_train_loss,rmse_fold1,rmse_fold2,rmse_fold3
"(16, 8)",64,0.001,0.9283103673318958,0.011111151561895764,0.756675660610199,0.9339914515724148,0.9381576341216185,0.9127820163016541
"(16,)",32,0.0001,0.9283505742231797,0.006707585000661393,0.7435448368390402,0.9275994281523421,0.9369154316899053,0.9205368628272915
"(16,)",32,0.001,0.9300988278944994,0.008706952465140864,0.7669463952382406,0.9272558226469582,0.9418960002661548,0.921144660770385
"(16, 8)",32,0.001,0.9321100328006006,0.009790778380355728,0.7864944736162821,0.9269516900894733,0.9458172155371695,0.923561192775159
"(16, 8)",64,0.0005,0.9328348309630528,0.015246287766935552,0.7688508629798889,0.944731222736802,0.9424600365377219,0.9113132336146342
"(32,)",64,0.001,0.9343049080429638,0.00931391300941325,0.7315321763356527,0.942347734345178,0.9393172190477452,0.9212497707359681
"(16,)",32,0.0005,0.9347507890919101,0.010856891993052451,0.7274799545605978,0.9411222724408389,0.9436630350837459,0.9194670597511455
"(32,)",32,0.001,0.9358653746123523,0.008430084544758023,0.7098683913548788,0.94606921794503,0.9361029916975611,0.9254239141944658
"(16, 8)",32,0.0001,0.9358837430811012,0.010142841826826055,0.7764374812444051,0.9329206423039386,0.9495197529732682,0.925210833966097
"(16,)",64,0.0005,0.9363137513684109,0.0026779091253121114,0.7449803352355957,0.9364802383924538,0.9395070925841609,0.9329539231286184
