,nJet,MET_pt,MET_phi,MET_significance,MET_covXX,MET_covXY,MET_covYY,PV_chi2,PV_score,PV_x,PV_y,PV_z,nSV,GenMET_pt
nJet,1.0,0.11019297500665615,0.002658976100726309,-0.09409233499132359,0.48701838631369687,-0.0050731078397580716,0.48936694410469955,-0.0011884867943219987,0.12628568183086186,0.002196711319906797,0.0013588850628336148,0.0007373552132887381,0.07232998015054884,0.03966256263999292
MET_pt,0.11019297500665615,1.0,0.00898701978518146,0.7837245175910388,0.2175690294672613,-0.004361649289876994,0.216388919126748,0.0013094304047381305,0.03232144965805361,-0.0005855374989193412,-0.004579809778240607,-0.003602228572474292,-0.033955140961280064,0.0872374517896704
MET_phi,0.002658976100726309,0.00898701978518146,1.0,0.005389086311273578,0.004072826732863309,-0.027170273845169953,0.0007524481010028024,0.0030744600000408477,0.0004342564123308586,0.0028279619874046957,-0.0024744205142642898,0.0020371090530378706,0.004531986266515208,0.002995025957166145
MET_significance,-0.09409233499132359,0.7837245175910388,0.005389086311273578,1.0,-0.09500807876150379,0.002212999624193903,-0.09612858460809101,-0.0016617686735922593,0.016684568965455226,-0.0025192532308229666,-0.004597427278764214,-0.0018487387207483939,-0.07790258000288995,0.0539769046159968
MET_covXX,0.48701838631369687,0.2175690294672613,0.004072826732863309,-0.09500807876150379,1.0,-0.000607116938374599,0.9089716509249675,0.004721663946384777,0.07752584843142028,0.0008639388084519034,-0.0005738069282063106,0.0005332543769046846,0.08774507843963697,0.04955143461329996
MET_covXY,-0.0050731078397580716,-0.004361649289876994,-0.027170273845169953,0.002212999624193903,-0.000607116938374599,1.0,-0.007745893719147697,-0.002384431709084654,-0.008605529667766622,0.0008984620106859626,-0.004355844975355557,-0.001578354398851434,-0.0049932113670885575,-0.01697140425419764
MET_covYY,0.48936694410469955,0.216388919126748,0.0007524481010028024,-0.09612858460809101,0.9089716509249675,-0.007745893719147697,1.0,0.00498190857216757,0.08996912508391929,0.0001848841102223506,-0.00015062934629323565,0.00029356408869985677,0.08678349910889734,0.050754523018727946
PV_chi2,-0.0011884867943219987,0.0013094304047381305,0.0030744600000408477,-0.0016617686735922593,0.004721663946384777,-0.002384431709084654,0.00498190857216757,1.0,-0.0006362099490101795,-0.008818651105807342,0.02232813194334377,0.0003696280754847021,0.013767075060326655,0.0057644493833595625
PV_score,0.12628568183086186,0.03232144965805361,0.0004342564123308586,0.016684568965455226,0.07752584843142028,-0.008605529667766622,0.08996912508391929,-0.0006362099490101795,1.0,0.0002517227614887444,-0.0006367171789291849,-6.631518442041439e-08,-0.0013538515062648184,0.040053108808385036
PV_x,0.002196711319906797,-0.0005855374989193412,0.0028279619874046957,-0.0025192532308229666,0.0008639388084519034,0.0008984620106859626,0.0001848841102223506,-0.008818651105807342,0.0002517227614887444,1.0,-0.005117653365356195,0.00024394195950850457,-0.0003662917955055687,0.004556311148259881
PV_y,0.0013588850628336148,-0.004579809778240607,-0.0024744205142642898,-0.004597427278764214,-0.0005738069282063106,-0.004355844975355557,-0.00015062934629323565,0.02232813194334377,-0.0006367171789291849,-0.005117653365356195,1.0,-0.0010139708429370232,-0.001691471451548693,0.002154112593997978
PV_z,0.0007373552132887381,-0.003602228572474292,0.0020371090530378706,-0.0018487387207483939,0.0005332543769046846,-0.001578354398851434,0.00029356408869985677,0.0003696280754847021,-6.631518442041439e-08,0.00024394195950850457,-0.0010139708429370232,1.0,-0.0018778654795522014,-0.0031394469291368067
nSV,0.07232998015054884,-0.033955140961280064,0.004531986266515208,-0.07790258000288995,0.08774507843963697,-0.0049932113670885575,0.08678349910889734,0.013767075060326655,-0.0013538515062648184,-0.0003662917955055687,-0.001691471451548693,-0.0018778654795522014,1.0,0.23189789163973504
GenMET_pt,0.03966256263999292,0.0872374517896704,0.002995025957166145,0.0539769046159968,0.04955143461329996,-0.01697140425419764,0.050754523018727946,0.0057644493833595625,0.040053108808385036,0.004556311148259881,0.002154112593997978,-0.0031394469291368067,0.23189789163973504,1.0
