,nJet,MET_pt,MET_phi,MET_significance,MET_covXX,MET_covXY,MET_covYY,PV_chi2,PV_score,PV_x,PV_y,PV_z,nSV,GenMET_pt
nJet,1.0,0.29514320534293115,-0.00045791280147626496,0.07599577367853255,0.5268229423465239,-0.005714771689543036,0.532013347640007,0.03534273685750875,0.15661075460132096,-0.002590685806792228,0.0029862397285011183,0.0003808596839973865,0.18647365125141097,0.2743455541910747
MET_pt,0.29514320534293115,1.0,0.0002430102708357042,0.7093183126405053,0.15164724209962913,-0.004823310164598343,0.15419928375896524,0.02308942613704525,0.5557501095644678,-0.0008674159325702714,0.0019097978064645104,-0.0021415365104350097,0.11366374969894795,0.8943633784960092
MET_phi,-0.00045791280147626496,0.0002430102708357042,1.0,-0.0040471403046323405,0.002418588296653097,-0.04521229247114902,0.002062396280277897,0.0016217050642952668,-0.002685679473412842,-0.002915491509899823,0.0023843823134138934,0.003246204375169734,0.0035269804658734595,-0.0037465806115605477
MET_significance,0.07599577367853255,0.7093183126405053,-0.0040471403046323405,1.0,-0.06489615311717271,0.0003621972997072046,-0.06453064714486904,0.0069047166691943804,0.6320333585585642,-0.000556069019446493,-0.00030065859813937227,-0.0028689412411096443,0.04098195801371664,0.682245627660528
MET_covXX,0.5268229423465239,0.15164724209962913,0.002418588296653097,-0.06489615311717271,1.0,0.007022213537235958,0.911827471490246,0.02629341615023605,0.0688690422979449,-0.002026017539900414,0.0037351743955077645,0.00111652400146587,0.14548142583368895,0.10162154966085168
MET_covXY,-0.005714771689543036,-0.004823310164598343,-0.04521229247114902,0.0003621972997072046,0.007022213537235958,1.0,0.004983857811417173,0.0007261793093191287,-0.010734098155135431,-0.004264526242363273,-0.0016176380945878836,-0.002582610199679813,-0.006258794777605216,-0.003021173681447563
MET_covYY,0.532013347640007,0.15419928375896524,0.002062396280277897,-0.06453064714486904,0.911827471490246,0.004983857811417173,1.0,0.028735591205840384,0.07208762065600811,-0.001718336311255605,0.005176647371930495,0.0006860509702735785,0.14572261435347955,0.10365809728751968
PV_chi2,0.03534273685750875,0.02308942613704525,0.0016217050642952668,0.0069047166691943804,0.02629341615023605,0.0007261793093191287,0.028735591205840384,1.0,0.013350796071941477,0.023470807018269823,0.024512753632165776,0.008114842057610474,-0.002499637392850496,0.020732281645187395
PV_score,0.15661075460132096,0.5557501095644678,-0.002685679473412842,0.6320333585585642,0.0688690422979449,-0.010734098155135431,0.07208762065600811,0.013350796071941477,1.0,-0.0007993519923321407,0.00014091251613645092,-0.003350623275595202,0.07309793250685448,0.5752981043041262
PV_x,-0.002590685806792228,-0.0008674159325702714,-0.002915491509899823,-0.000556069019446493,-0.002026017539900414,-0.004264526242363273,-0.001718336311255605,0.023470807018269823,-0.0007993519923321407,1.0,-0.17222214290388493,-0.00127008336672371,0.002111612776723647,-0.001994857545552878
PV_y,0.0029862397285011183,0.0019097978064645104,0.0023843823134138934,-0.00030065859813937227,0.0037351743955077645,-0.0016176380945878836,0.005176647371930495,0.024512753632165776,0.00014091251613645092,-0.17222214290388493,1.0,-0.00811924213957647,0.0029881481789254573,0.0015048563688504083
PV_z,0.0003808596839973865,-0.0021415365104350097,0.003246204375169734,-0.0028689412411096443,0.00111652400146587,-0.002582610199679813,0.0006860509702735785,0.008114842057610474,-0.003350623275595202,-0.00127008336672371,-0.00811924213957647,1.0,-0.0012766032894221632,-0.0007948492073941689
nSV,0.18647365125141097,0.11366374969894795,0.0035269804658734595,0.04098195801371664,0.14548142583368895,-0.006258794777605216,0.14572261435347955,-0.002499637392850496,0.07309793250685448,0.002111612776723647,0.0029881481789254573,-0.0012766032894221632,1.0,0.10813841371271063
GenMET_pt,0.2743455541910747,0.8943633784960092,-0.0037465806115605477,0.682245627660528,0.10162154966085168,-0.003021173681447563,0.10365809728751968,0.020732281645187395,0.5752981043041262,-0.001994857545552878,0.0015048563688504083,-0.0007948492073941689,0.10813841371271063,1.0
