,nJet,MET_pt,MET_phi,MET_significance,MET_covXX,MET_covXY,MET_covYY,PV_chi2,PV_score,PV_x,PV_y,PV_z,nSV,GenMET_pt
nJet,1.0,0.34646255552581423,-0.0002067508017399107,0.18490497469145045,0.5482706423752711,-0.008896468532660084,0.5500648520572425,0.06796907509809347,0.4479454965130477,-0.002348771714908995,0.0020242719474824773,0.0004476344301719308,0.1708315978163477,0.33769117104112034
MET_pt,0.34646255552581423,1.0,0.003826493098657054,0.9443699100123317,0.17241511881615687,-0.003187257255737793,0.17236174477183344,0.03744910567953872,0.5327832690401593,-0.0024431029633227596,0.0013060989354463017,-0.0009170093661949438,0.08672877311558753,0.7376615852639311
MET_phi,-0.0002067508017399107,0.003826493098657054,1.0,0.0031410789851369124,0.0005526690632876012,-0.04826990203417598,0.001305140487222977,-0.0009430389144771264,-0.0012973475080440135,-0.0049852834973782975,0.004608443835037476,0.003023675156098895,0.0015426707613430816,-0.0034974052448578405
MET_significance,0.18490497469145045,0.9443699100123317,0.0031410789851369124,1.0,-0.11722050631617272,0.00022545280304925858,-0.11727569154731618,0.02044454644419225,0.5085452414801526,-0.0023206711485431403,0.0008028789307254991,-0.0016786412941967714,0.04079637501757331,0.7146661455640494
MET_covXX,0.5482706423752711,0.17241511881615687,0.0005526690632876012,-0.11722050631617272,1.0,-0.010770039164142016,0.9350507410662917,0.05891746221648512,0.10825484918558599,-0.0006793088248222071,0.0012614973842437185,0.00036777574816844217,0.15551559582618288,0.08700763180278731
MET_covXY,-0.008896468532660084,-0.003187257255737793,-0.04826990203417598,0.00022545280304925858,-0.010770039164142016,1.0,-0.010921625758060771,0.0023866231355891793,-0.00014183003576705364,-0.0017605599118916235,-0.0032312777979693766,-0.0004678064728326527,-0.0052043532148592616,0.002153392914910281
MET_covYY,0.5500648520572425,0.17236174477183344,0.001305140487222977,-0.11727569154731618,0.9350507410662917,-0.010921625758060771,1.0,0.06266018933324244,0.1078647925695503,-0.00011195830847758839,0.002475607823093357,0.0006228707337685199,0.15516297231493564,0.08670017984789187
PV_chi2,0.06796907509809347,0.03744910567953872,-0.0009430389144771264,0.02044454644419225,0.05891746221648512,0.0023866231355891793,0.06266018933324244,1.0,0.057185144489503355,-0.003628046231595952,-3.293106797728367e-05,0.018079193136733254,0.007759496548412228,0.03646701332363606
PV_score,0.4479454965130477,0.5327832690401593,-0.0012973475080440135,0.5085452414801526,0.10825484918558599,-0.00014183003576705364,0.1078647925695503,0.057185144489503355,1.0,-0.001865382377280645,0.0012709881430715702,-0.0006342491166221407,0.09996374925676213,0.6094341041955637
PV_x,-0.002348771714908995,-0.0024431029633227596,-0.0049852834973782975,-0.0023206711485431403,-0.0006793088248222071,-0.0017605599118916235,-0.00011195830847758839,-0.003628046231595952,-0.001865382377280645,1.0,0.0025696525330612336,0.001247273148547885,0.002318437592937478,-0.004682853407790209
PV_y,0.0020242719474824773,0.0013060989354463017,0.004608443835037476,0.0008028789307254991,0.0012614973842437185,-0.0032312777979693766,0.002475607823093357,-3.293106797728367e-05,0.0012709881430715702,0.0025696525330612336,1.0,-0.011135008650260082,0.0022480944012142736,0.0022503414756777033
PV_z,0.0004476344301719308,-0.0009170093661949438,0.003023675156098895,-0.0016786412941967714,0.00036777574816844217,-0.0004678064728326527,0.0006228707337685199,0.018079193136733254,-0.0006342491166221407,0.001247273148547885,-0.011135008650260082,1.0,0.0006915154567055936,0.00024426775914168137
nSV,0.1708315978163477,0.08672877311558753,0.0015426707613430816,0.04079637501757331,0.15551559582618288,-0.0052043532148592616,0.15516297231493564,0.007759496548412228,0.09996374925676213,0.002318437592937478,0.0022480944012142736,0.0006915154567055936,1.0,0.08056639476209304
GenMET_pt,0.33769117104112034,0.7376615852639311,-0.0034974052448578405,0.7146661455640494,0.08700763180278731,0.002153392914910281,0.08670017984789187,0.03646701332363606,0.6094341041955637,-0.004682853407790209,0.0022503414756777033,0.00024426775914168137,0.08056639476209304,1.0
